Country (or dependency),Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Migrants (net)
Afghanistan,38928346,886592,60,652860,-62920.0
Albania,2877797,-3120,105,27400,-14000.0
Algeria,43851044,797990,18,2381740,-10000.0
Andorra,77265,123,164,470,0.0
Angola,32866272,1040977,26,1246700,6413.0
Antigua and Barbuda,97929,811,223,440,0.0
Argentina,45195774,415097,17,2736690,4800.0
Armenia,2963243,5512,104,28470,-4998.0
Aruba,106766,452,593,180,201.0
Australia,25499884,296686,3,7682300,158246.0
Austria,9006398,51296,109,82409,65000.0
Azerbaijan,10139177,91459,123,82658,1200.0
Bahamas,393244,3762,39,10010,1000.0
Bahrain,1701575,60403,2239,760,47800.0
Bangladesh,164689383,1643222,1265,130170,-369501.0
Barbados,287375,350,668,430,-79.0
Belarus,9449323,-3088,47,202910,8730.0
Belgium,11589623,50295,383,30280,48000.0
Belize,397628,7275,17,22810,1200.0
Benin,12123200,322049,108,112760,-2000.0
Bhutan,771608,8516,20,38117,320.0
Bolivia,11673021,159921,11,1083300,-9504.0
Bosnia and Herzegovina,3280819,-20181,64,51000,-21585.0
Botswana,2351627,47930,4,566730,3000.0
Brazil,212559417,1509890,25,8358140,21200.0
Brunei,437479,4194,83,5270,0.0
Bulgaria,6948445,-51674,64,108560,-4800.0
Burkina Faso,20903273,581895,76,273600,-25000.0
Burma,54409800,364380,83,653290,-163313.0
Burundi,11890784,360204,463,25680,2001.0
Cabo Verde,555987,6052,138,4030,-1342.0
Cambodia,16718965,232423,95,176520,-30000.0
Cameroon,26545863,669483,56,472710,-4800.0
Canada,37742154,331107,4,9093510,242032.0
Cayman Islands,65722,774,274,240,0.0
Central African Republic,4829767,84582,8,622980,-40000.0
Chad,16425864,478988,13,1259200,2000.0
Channel Islands,173863,1604,915,190,1351.0
Chile,19116201,164163,26,743532,111708.0
China,1439323776,5540090,153,9388211,-348399.0
Colombia,50882891,543448,46,1109500,204796.0
Congo (Brazzaville),5518087,137579,16,341500,-4000.0
Congo (Kinshasa),89561403,2770836,40,2267050,23861.0
Costa Rica,5094118,46557,100,51060,4200.0
Croatia,4105267,-25037,73,55960,-8001.0
Cuba,11326616,-6867,106,106440,-14400.0
Curacao,164093,669,370,444,515.0
